away_team,home_team,away_st_downs,home_st_downs,away_passing_st_downs,home_passing_st_downs,away_rushing_st_downs,home_rushing_st_downs,away_st_downs_from_penalties,home_st_downs_from_penalties,away_rd_down_efficiency,home_rd_down_efficiency,away_th_down_efficiency,home_th_down_efficiency,away_total_plays,home_total_plays,away_total_yards,home_total_yards,away_total_drives,home_total_drives,away_yards_per_play,home_yards_per_play,away_passing,home_passing,away_comp_att,home_comp_att,away_yards_per_pass,home_yards_per_pass,away_interceptions_thrown,home_interceptions_thrown,away_sacks_yards_lost,home_sacks_yards_lost,away_rushing,home_rushing,away_rushing_attempts,home_rushing_attempts,away_yards_per_rush,home_yards_per_rush,away_red_zone_made_att,home_red_zone_made_att,away_penalties,home_penalties,away_turnovers,home_turnovers,away_fumbles_lost,home_fumbles_lost,away_defensive_special_teams_tds,home_defensive_special_teams_tds,away_possession,home_possession,home_wins
26,8,21.0,15.0,10.0,11.0,6.0,3.0,5.0,1.0,0.3076923076923077,0.3076923076923077,0.0,0.0,63.0,57.0,300.0,314.0,15.0,14.0,4.8,5.5,125.0,231.0,0.5454545454545454,0.72,3.5,8.9,2.0,1.0,0.15,0.09090909090909091,175.0,83.0,27.0,31.0,6.5,2.7,0.6666666666666666,0.5,0.12962962962962962,0.11864406779661017,4.0,3.0,2.0,2.0,0.0,0.0,1796,1804,1
6,2,16.0,24.0,10.0,18.0,5.0,5.0,1.0,1.0,0.2857142857142857,0.5,1.0,0.6666666666666666,46.0,76.0,334.0,383.0,11.0,9.0,7.3,5.0,227.0,288.0,0.6666666666666666,0.6956521739130435,9.9,5.8,1.0,1.0,0.2857142857142857,0.15384615384615385,107.0,95.0,23.0,26.0,4.7,3.7,1.0,0.25,0.05813953488372093,0.09259259259259259,1.0,2.0,0.0,1.0,0.0,2.0,1402,2198,0
14,11,17.0,17.0,10.0,9.0,7.0,6.0,0.0,2.0,0.38461538461538464,0.3333333333333333,0.0,1.0,64.0,67.0,278.0,272.0,13.0,13.0,4.3,4.1,220.0,146.0,0.5384615384615384,0.37037037037037035,5.0,5.0,3.0,1.0,0.3125,0.14285714285714285,58.0,126.0,20.0,38.0,2.9,3.3,0.6666666666666666,0.5,0.21875,0.14285714285714285,5.0,1.0,2.0,0.0,0.0,0.0,1643,1957,1
21,17,22.0,18.0,13.0,11.0,5.0,3.0,4.0,4.0,0.2727272727272727,0.4375,0.0,1.0,63.0,65.0,377.0,315.0,11.0,10.0,6.0,4.8,292.0,230.0,0.7058823529411765,0.6216216216216216,8.6,5.6,0.0,0.0,0.0,0.14814814814814814,85.0,85.0,29.0,24.0,2.9,3.5,0.4,0.5,0.07526881720430108,0.12280701754385964,1.0,0.0,1.0,0.0,0.0,0.0,1867,1733,0
10,19,22.0,18.0,14.0,10.0,7.0,5.0,1.0,3.0,0.5,0.36363636363636365,0.0,0.0,68.0,56.0,354.0,330.0,13.0,14.0,5.2,5.9,218.0,237.0,0.5641025641025641,0.72,5.2,9.1,5.0,0.0,0.13636363636363635,0.1111111111111111,136.0,93.0,26.0,30.0,5.2,3.1,0.0,1.0,0.1111111111111111,0.1,6.0,0.0,1.0,0.0,0.0,0.0,1910,1690,1
5,3,18.0,21.0,12.0,13.0,3.0,6.0,3.0,2.0,0.3076923076923077,0.42857142857142855,0.0,0.0,57.0,67.0,286.0,312.0,13.0,14.0,5.0,4.7,220.0,208.0,0.6,0.5853658536585366,6.9,4.7,0.0,2.0,0.11764705882352941,0.1111111111111111,66.0,104.0,25.0,23.0,2.6,4.5,1.0,0.6666666666666666,0.125,0.10476190476190476,0.0,5.0,0.0,3.0,4.0,0.0,1628,1972,0
24,16,14.0,21.0,10.0,11.0,2.0,5.0,2.0,5.0,0.3076923076923077,0.46153846153846156,0.5,0.0,58.0,63.0,294.0,270.0,10.0,10.0,5.1,4.3,248.0,166.0,0.6097560975609756,0.6153846153846154,5.9,5.9,3.0,0.0,0.1111111111111111,0.1111111111111111,46.0,104.0,16.0,35.0,2.9,3.0,0.0,0.5,0.125,0.1076923076923077,3.0,0.0,0.0,0.0,0.0,0.0,1605,1995,1
0,15,13.0,12.0,6.0,7.0,6.0,4.0,1.0,1.0,0.06666666666666667,0.14285714285714285,0.5,1.0,65.0,64.0,260.0,260.0,15.0,15.0,4.0,4.1,152.0,167.0,0.4594594594594595,0.6071428571428571,3.8,5.4,2.0,1.0,0.23076923076923078,0.11538461538461539,108.0,93.0,25.0,33.0,4.3,2.8,0.0,0.0,0.09259259259259259,0.14,3.0,3.0,1.0,2.0,0.0,0.0,1748,1852,1
27,4,17.0,20.0,13.0,13.0,3.0,6.0,1.0,1.0,0.375,0.5,0.0,1.0,68.0,65.0,348.0,496.0,14.0,14.0,5.1,7.6,306.0,401.0,0.7115384615384616,0.6578947368421053,5.7,10.3,1.0,1.0,0.1111111111111111,0.2,42.0,95.0,14.0,26.0,3.0,3.7,0.5,0.75,0.1702127659574468,0.10416666666666667,1.0,3.0,0.0,2.0,0.0,0.0,1846,1754,1
3,10,13.0,19.0,8.0,8.0,2.0,6.0,3.0,5.0,0.25,0.4666666666666667,0.0,1.0,56.0,58.0,183.0,299.0,9.0,10.0,3.3,5.2,136.0,227.0,0.5142857142857142,0.7307692307692307,3.5,8.1,0.0,1.0,0.12903225806451613,1.0,47.0,72.0,17.0,30.0,2.8,2.4,0.0,0.6666666666666666,0.10526315789473684,0.1511627906976744,0.0,1.0,0.0,0.0,0.0,0.0,1649,1951,1
