,away_team,home_team,away_1st downs,home_1st downs,away_passing 1st downs,home_passing 1st downs,away_rushing 1st downs,home_rushing 1st downs,away_1st downs from penalties,home_1st downs from penalties,away_3rd down efficiency,home_3rd down efficiency,away_4th down efficiency,home_4th down efficiency,away_total plays,home_total plays,away_total yards,home_total yards,away_total drives,home_total drives,away_yards per play,home_yards per play,away_passing,home_passing,away_comp-att,home_comp-att,away_yards per pass,home_yards per pass,away_interceptions thrown,home_interceptions thrown,away_sacks-yards lost,home_sacks-yards lost,away_rushing,home_rushing,away_rushing attempts,home_rushing attempts,away_yards per rush,home_yards per rush,away_red zone (made-att),home_red zone (made-att),away_penalties,home_penalties,away_turnovers,home_turnovers,away_fumbles lost,home_fumbles lost,away_defensive / special teams tds,home_defensive / special teams tds,away_possession,home_possession,away_points,home_points
0,HOU,KC,21,28,13,16,8,9,0,3,4-10,7-13,1-1,1-1,58,67,360,369,9,9,6.2,5.5,242,203,20-32,24-32,6.7,6.2,1,0,4-11,1-8,118,166,22,34,5.4,4.9,3-3,3-5,5-37,1-5,1,0,0,0,0,0,25:13,34:47,20,34
1,BUF,LV,21,24,14,16,5,7,2,1,7-13,8-14,1-1,1-2,59,69,337,383,10,9,5.7,5.6,274,297,24-34,32-44,7.8,6.5,0,0,1-14,2-14,63,86,24,23,2.6,3.7,3-4,2-4,5-81,7-65,0,2,0,2,0,0,28:18,31:42,30,23
2,NO,LV,26,28,17,18,8,5,1,5,7-11,10-17,0-0,2-2,57,76,424,377,9,9,7.4,5.0,312,261,26-38,28-38,8.2,6.4,1,0,0-0,3-23,112,116,19,35,5.9,3.3,3-4,3-4,10-129,3-13,1,1,0,1,0,0,23:42,36:18,24,34
3,TB,LV,29,19,22,12,5,5,2,2,7-12,5-13,1-1,1-2,70,63,454,347,10,11,6.5,5.5,369,271,33-45,24-36,8.2,6.9,0,1,0-0,3-13,85,76,25,24,3.4,3.2,5-6,1-2,4-20,4-35,0,1,0,0,0,0,28:56,31:04,45,20
